"","X1","business_id","name","address","city","state","postal_code","latitude","longitude","stars","review_count","is_open"
"1",3,"MTSW4McQd7CbVtyjqoe9mw","St Honore Pastries","935 Race St","Philadelphia","PA","19107",39.9555052,-75.1555641,4,80,1
"2",4,"mWMc6_wTdE0EUBKIGXDVfA","Perkiomen Valley Brewery","101 Walnut St","Green Lane","PA","18054",40.3381827,-75.4716585,4.5,13,1
"3",5,"CF33F8-E6oudUQ46HnavjQ","Sonic Drive-In","615 S Main St","Ashland City","TN","37015",36.269593,-87.058943,2,6,1
"4",8,"k0hlBqXX-Bt0vf1op7Jr1w","Tsevi's Pub And Grill","8025 Mackenzie Rd","Affton","MO","63123",38.5651648,-90.3210868,3,19,0
"5",9,"bBDDEgkFA1Otx9Lfe7BZUQ","Sonic Drive-In","2312 Dickerson Pike","Nashville","TN","37207",36.2081024,-86.7681696,1.5,10,1
"6",11,"eEOYSgkmpB90uNA7lDOMRA","Vietnamese Food Truck",NA,"Tampa Bay","FL","33602",27.9552692,-82.4563199,4,10,1
"7",12,"il_Ro8jwPlHresjw9EGmBg","Denny's","8901 US 31 S","Indianapolis","IN","46227",39.6371332838,-86.127217412,2.5,28,1
"8",14,"0bPLkL0QhhPO5kt1_EXmNQ","Zio's Italian Market","2575 E Bay Dr","Largo","FL","33771",27.9161159,-82.7604608,4.5,100,0
"9",15,"MUTTqe8uqyMdBl186RmNeA","Tuna Bar","205 Race St","Philadelphia","PA","19106",39.953949,-75.1432262,4,245,1
"10",19,"ROeacJQwBeh05Rqg7F6TCg","BAP","1224 South St","Philadelphia","PA","19147",39.943223,-75.162568,4.5,205,1
"11",20,"WKMJwqnfZKsAae75RMP6jA","Roast Coffeehouse and Wine Bar","10359 104 Street NW","Edmonton","AB","T5J 1B9",53.5460453,-113.4991693,4,40,0
"12",22,"kfNv-JZpuN6TVNSO6hHdkw","Hibachi Express","6625 E 82nd St","Indianapolis","IN","46250",39.9043203184,-86.0530799,4,20,1
"13",23,"9OG5YkX1g2GReZM0AskizA","Romano's Macaroni Grill","5505 S Virginia St","Reno","NV","89502",39.4761165,-119.7893392,2.5,339,1
"14",24,"4iRzR7OaS-QaSXuvYxEGKA","Super Dog","1160 Gallatin Pike S","Nashville","TN","37115",36.2485696,-86.7199857,4,6,0
"15",27,"tMkwHmWFUEXrC9ZduonpTg","The Green Pheasant","215 1st Ave S","Nashville","TN","37201",36.1598858,-86.7731974,4,161,0
"16",28,"QdN72BWoyFypdGJhhI5r7g","Bar One","767 S 9th St","Philadelphia","PA","19147",39.9398245705,-75.1574465632,4,65,0
"17",29,"sqSqqLy0sN8n2IZrAbzidQ","Domino's Pizza","3001 Highway 31 W","White House","TN","37188",36.4647467622,-86.6591868908,3.5,8,1
"18",31,"Mjboz24M9NlBeiOJKLEd_Q","DeSandro on Main","4105 Main St","Philadelphia","PA","19127",40.0224662,-75.218314,3,41,0
"19",33,"kV_Q1oqis8Qli8dUoGpTyQ","Ardmore Pizza","10 Rittenhouse Pl","Ardmore","PA","19003",40.0067071,-75.289671,3.5,109,1
"20",35,"aPNXGTDkf-4bjhyMBQxqpQ","Craft Hall","901 N Delaware Ave","Philadelphia","PA","19123",39.9625821,-75.1356571,3.5,65,1
"21",36,"2xVsWBNFwZOxIOdd9Mwnww","Cheeseburger In Paradise","116 N Pottstown Pike","Exton","PA","19341",40.029962,-75.630607,2.5,20,0
"22",41,"ljxNT9p0y7YMPx0fcNBGig","Tony's Restaurant & 3rd Street Cafe","312 Piasa St","Alton","IL","62002",38.896563,-90.1862032987,3,94,1
"23",45,"wghnIlMb_i5U46HMBGx9ig","China Dragon Restaurant","1625 W Valencia Rd, Ste 101-103","Tucson","AZ","85746",32.1323047,-110.9999851,3,23,0
"24",46,"JX4tUpd09YFchLBuI43lGw","Naked Cyber Cafe & Espresso Bar","10303  108 Street NW","Edmonton","AB","T5J 1L7",53.5446819,-113.506589,4,12,1
"25",47,"lk9IwjZXqUMqqOhM774DtQ","Caviar & Bananas","2031 Broadway","Nashville","TN","37203",36.1483712,-86.7988947,3.5,159,0
"26",49,"ABxoFuzZy5mqQ8C5FJJajQ","Core de Roma","201 Jefferson St","Bala Cynwyd","PA","19004",40.0283575,-75.2380841,5,12,1
"27",52,"5BmQX4UVJY19mMtafMg7JA","Breadland Organic Whole Grain Bakery","11642 104 Avenue, Unit 642","Edmonton","AB","T5K 2T7",53.547205,-113.522448,4,23,1
"28",53,"cVBxfMC4lp3DnocjYA3FHQ","Paws The Cat Cafe","10588 109 Street","Edmonton","AB","T5H 3B2",53.5496333,-113.5087799,5,20,0
"29",54,"0qNpTGTcqPwOLi2hADx4Xw","Charlie's Market","2815 E Sligh Ave","Tampa","FL","33610",28.0103596,-82.4300416,3,9,1
"30",56,"txyXRytGjwOXvS8s4sc-WA","Smoothie King","1070 E Tucson Marketplace Blvd","Tucson","AZ","85713",32.186794,-110.954765,3,29,1
"31",58,"uI9XODGY_2_ieTE6xJ0myw","Roman Forum","10440 N Dale Mabry Hwy","Tampa","FL","33618",28.0462028173,-82.5050526736,4,23,0
"32",59,"JgpnXv_0XhV3SfbfB50nxw","Joe's Pizza","2038 N Dale Mabry Hwy","Tampa","FL","33607",27.9605142,-82.506127,4,35,0
"33",60,"Si6LXSR9gvAbmgO5DzV2cw","Lafitte's Landing Seafood House","1700 Lapalco Blvd","Harvey","LA","70058",29.8754822266,-90.04938,2.5,38,0
"34",61,"seKihQKpGGnCeLuELRQPSQ","Twin Peaks","6880 E 82nd St","Indianapolis","IN","46250",39.9062952,-86.0474634,3.5,257,1
"35",62,"L_TT0BFmFwORAMaA83K54A","Village Tap Room","838 Broad Ripple Ave","Indianapolis","IN","46220",39.8699114,-86.1435773,2.5,23,0
"36",64,"qfWJmJ0g96eM_fWma3ja0g","Doc Magrogan's Oyster House - West Chester","117 E Gay St","West Chester","PA","19380",39.9615417,-75.6036042,3,114,0
"37",68,"lOP3HxdUTaq0eXhwR_KC-w","Sweet Things Chocolates","2288 W 86th St","Indianapolis","IN","46260",39.913292,-86.20083,4,13,1
"38",69,"KWA2qtdwVEkMpd5soSKaGA","Publix Super Market","12101 Little Rd","Hudson","FL","34667",28.3326007,-82.6681066,3.5,7,0
