"","business_id","categories"
"1","MTSW4McQd7CbVtyjqoe9mw","Restaurants"
"2","mWMc6_wTdE0EUBKIGXDVfA","Brewpubs"
"3","CF33F8-E6oudUQ46HnavjQ","Burgers"
"4","k0hlBqXX-Bt0vf1op7Jr1w","Pubs"
"5","bBDDEgkFA1Otx9Lfe7BZUQ","Ice Cream & Frozen Yogurt"
"6","eEOYSgkmpB90uNA7lDOMRA","Vietnamese"
"7","il_Ro8jwPlHresjw9EGmBg","American (Traditional)"
"8","0bPLkL0QhhPO5kt1_EXmNQ","Food"
"9","MUTTqe8uqyMdBl186RmNeA","Sushi Bars"
"10","ROeacJQwBeh05Rqg7F6TCg","Korean"
"11","WKMJwqnfZKsAae75RMP6jA","Coffee & Tea"
"12","kfNv-JZpuN6TVNSO6hHdkw","Steakhouses"
"13","9OG5YkX1g2GReZM0AskizA","Restaurants"
"14","4iRzR7OaS-QaSXuvYxEGKA","Hot Dogs"
"15","tMkwHmWFUEXrC9ZduonpTg","Restaurants"
"16","QdN72BWoyFypdGJhhI5r7g","Cocktail Bars"
"17","sqSqqLy0sN8n2IZrAbzidQ","Pizza"
"18","Mjboz24M9NlBeiOJKLEd_Q","Pizza"
"19","kV_Q1oqis8Qli8dUoGpTyQ","Pizza"
"20","aPNXGTDkf-4bjhyMBQxqpQ","Eatertainment"
"21","2xVsWBNFwZOxIOdd9Mwnww","Restaurants"
"22","ljxNT9p0y7YMPx0fcNBGig","Restaurants"
"23","wghnIlMb_i5U46HMBGx9ig","Restaurants"
"24","JX4tUpd09YFchLBuI43lGw","Arts & Entertainment"
"25","lk9IwjZXqUMqqOhM774DtQ","Coffee & Tea"
"26","ABxoFuzZy5mqQ8C5FJJajQ","Restaurants"
"27","5BmQX4UVJY19mMtafMg7JA","Specialty Food"
"28","cVBxfMC4lp3DnocjYA3FHQ","Coffee & Tea"
"29","0qNpTGTcqPwOLi2hADx4Xw","Food"
"30","txyXRytGjwOXvS8s4sc-WA","Vitamins & Supplements"
"31","uI9XODGY_2_ieTE6xJ0myw","Restaurants"
"32","JgpnXv_0XhV3SfbfB50nxw","Restaurants"
"33","Si6LXSR9gvAbmgO5DzV2cw","Restaurants"
"34","seKihQKpGGnCeLuELRQPSQ","Sports Bars"
"35","L_TT0BFmFwORAMaA83K54A","Gastropubs"
"36","qfWJmJ0g96eM_fWma3ja0g","Seafood"
"37","lOP3HxdUTaq0eXhwR_KC-w","Chocolatiers & Shops"
"38","KWA2qtdwVEkMpd5soSKaGA","Food"
"39","gbN4RuUiiBxQ2GBFQ2p3Cw","Food Trucks"
"40","8rb-3VYXE37IZix4yOdskw","American (Traditional)"
"41","aCDY7vXYMs54EbYuQScsnQ","American (Traditional)"
"42","-4dYswJy7SPcbcERvitmIg","Food"
"43","x9K0RfZaT_zlw6DklBDzjw","Italian"
"44","pJfh3Ct8iL58NZa8ta-a5w","Burgers"
"45","7clCBgNbd-x2Wj96lZ6Mjw","Food"
"46","ppFCk9aQkM338Rgwpl2F5A","Restaurants"
"47","NZ_bFJma7brQUfln5h1UAg","Restaurants"
"48","IDtLPgUrqorrpqSLdfMhZQ","Food"
"49","YNjyv0gfOr2g8lbmUpTnKg","Nightlife"
"50","LhpPSrulqVeTyJeK2xydvQ","Juice Bars & Smoothies"
"51","oaboaRBUgGjbo2kfUIKDLQ","Ice Cream & Frozen Yogurt"
"52","RK6-cJ9hj53RzOlCBmpT-g","Restaurants"
"53","knQ4vIgx-r85kjlWVVjcpQ","Sporting Goods"
"54","1MeIwdbTnZOBFCKOrgaxuw","American (New)"
"55","EuRGgOwJ0g1vTj2R04j37Q","Seafood"
"56","TLZ3-eDPLhUzfsWO4ad6Ug","Restaurants"
